g-force,time,trot,canter
3669,633684,,
3671,633710,,
3674,633735,,
3693,633764,,
3735,633790,,
3647,633840,,
3681,633980,,
3645,634031,,
3664,634057,,
3687,634083,,
3701,634107,,
3669,634133,,
3672,634159,,
3671,634184,,
3632,634209,,
3690,634234,,
3680,634260,,
3665,634286,,
3692,634310,,
3687,634336,,
3660,634361,,
3702,634440,,
3696,634470,,
3676,634494,,
3698,634520,,
3648,634545,,
3636,634570,,
3672,634596,,
3633,634621,,
3669,634646,,
3672,634672,,
3676,634697,,
3717,634722,,
3684,634747,,
3693,634773,,
3709,634798,,
3702,634847,,
3677,634978,,
3697,635004,,
3691,635030,,
3695,635067,,
3668,635092,,
3688,635118,,
3642,635143,,
3694,635168,,
3665,635194,,
3637,635218,,
3722,635244,,
3693,635270,,
3672,635294,,
3694,635320,,
3673,635345,,
3680,635370,,
3694,635396,,
3661,635421,,
3699,635446,,
3679,635471,,
3717,635497,,
3657,635526,,
3710,635551,,
3672,635576,,
3686,635601,,
3675,635627,,
3673,635653,,
3698,635677,,
3661,635703,,
3668,635728,,
3693,635753,,
3679,635779,,
3681,635804,,
3639,635852,,
3709,635990,,
3749,636015,,
3660,636042,,
3644,636067,,
3637,636092,,
3684,636122,,
3680,636147,,
3655,636172,,
3701,636197,,
3709,636223,,
3730,636248,,
3703,636273,,
3683,636299,,
3645,636323,,
3681,636349,,
3672,636375,,
3652,636399,,
3657,636425,,
3706,636450,,
3700,636475,,
3713,636500,,
3704,636526,,
3689,636551,,
3702,636576,,
3718,636606,,
3705,636631,,
3702,636656,,
3707,636682,,
3680,636706,,
3667,636732,,
3664,636756,,
3701,636782,,
3710,636808,,
3714,636896,,
3671,636994,,
3693,637022,,
3691,637046,,
3717,637072,,
3700,637096,,
3673,637122,,
3735,637148,,
3696,637172,,
3709,637201,,
3713,637225,,
3702,637251,,
3714,637277,,
3709,637301,,
3713,637327,,
3678,637352,,
3697,637432,,
3720,637457,,
3686,637483,,
3713,637508,,
3718,637533,,
3704,637558,,
3700,637583,,
3702,637608,,
3697,637634,,
3710,637659,,
3697,637684,,
3726,637712,,
3692,637737,,
3642,637762,,
3699,637788,,
3747,637813,,
3725,637860,,
3691,637991,,
3691,638017,,
3692,638044,,
3717,638069,,
3706,638095,,
3703,638119,,
3737,638145,,
3698,638171,,
3689,638195,,
3701,638221,,
3673,638246,,
3674,638271,,
3700,638297,,
3682,638326,,
3705,638351,,
3706,638376,,
3684,638402,,
3713,638428,,
3688,638453,,
3714,638479,,
3737,638504,,
3676,638530,,
3701,638555,,
3698,638580,,
3712,638606,,
3663,638631,,
3702,638657,,
3679,638683,,
3702,638708,,
3662,638734,,
3714,638759,,
3714,638788,,
3680,638814,,
3710,638902,,
3700,639022,,
3697,639049,,
3683,639075,,
3694,639100,,
3685,639126,,
3658,639151,,
3675,639176,,
3704,639202,,
3678,639227,,
3727,639253,,
3695,639279,,
3673,639303,,
3690,639329,,
3696,639354,,
3697,639380,,
3741,639410,,
3732,639435,,
3688,639460,,
3702,639485,,
3718,639511,,
3710,639537,,
3701,639562,,
3669,639588,,
3675,639613,,
3727,639638,,
3704,639664,,
3694,639689,,
3703,639715,,
3707,639740,,
3752,639766,,
3652,639791,,
3756,639841,,
3704,639980,,
3704,640011,,
3707,640037,,
3676,640063,,
3699,640088,,
3699,640113,,
3697,640139,,
3712,640164,,
3704,640190,,
3717,640216,,
3697,640240,,
3728,640266,,
3702,640291,,
3671,640317,,
3675,640343,,
3666,640368,,
3675,640447,,
3708,640473,,
3686,640498,,
3675,640523,,
3631,640552,,
3716,640578,,
3688,640603,,
3678,640628,,
3675,640654,,
3723,640679,,
3705,640705,,
3694,640730,,
3682,640755,,
3711,640781,,
3661,640806,,
3727,640870,,
3676,640989,,
3563,641015,,
3667,641042,,
3753,641068,,
3746,641092,,
3652,641118,,
3618,641147,,
3703,641172,,
3735,641198,,
3672,641223,,
3685,641249,,
3701,641274,,
3754,641299,,
3732,641325,,
3713,641350,,
3698,641376,,
3760,641401,,
3665,641426,,
3701,641452,,
3764,641477,,
3690,641503,,
3756,641528,,
3793,641553,,
3789,641579,,
3768,641608,,
3745,641634,,
3783,641658,,
3784,641684,,
3853,641710,,
3774,641735,,
3753,641760,,
3762,641785,,
3705,641811,,
3670,641875,,
3673,641995,,
3691,642022,,
3685,642049,,
3677,642074,,
3718,642100,,
3628,642124,,
3662,642150,,
3682,642176,,
3693,642201,,
3640,642230,,
3637,642255,,
3587,642280,,
3610,642306,,
3596,642331,,
3611,642357,,
3651,642382,,
3673,642408,,
3719,642433,,
3800,642458,,
3760,642484,,
3700,642509,,
3759,642535,,
3701,642560,,
3647,642585,,
3612,642611,,
3635,642636,,
3677,642662,,
3682,642691,,
3648,642716,,
3592,642742,,
3679,642766,,
3803,642792,,
3984,642818,,
3652,642929,,
3755,643004,,
3367,643032,,
3457,643056,,
3672,643082,,
3954,643107,,
3749,643133,,
3531,643159,,
3457,643183,,
3468,643209,,
3848,643234,,
3921,643260,,
3758,643289,,
3723,643314,,
3652,643340,,
3679,643365,,
3646,643445,,
3512,643471,,
3543,643496,,
3527,643522,,
3583,643548,,
3601,643572,,
3642,643598,,
3686,643623,,
3723,643649,,
3688,643675,,
3643,643699,,
3580,643725,,
3489,643750,,
3611,643776,,
3807,643806,,
3838,643855,,
3606,643996,,
3791,644045,,
3872,644073,,
3787,644098,,
3774,644123,,
3703,644149,,
3698,644174,,
3697,644200,,
3710,644225,,
3759,644250,,
3771,644276,,
3772,644301,,
3754,644327,,
3703,644353,,
3675,644377,,
3657,644403,,
3655,644428,,
3738,644457,,
3664,644483,,
3715,644508,,
3683,644534,,
3732,644558,,
3703,644584,,
3642,644610,,
3615,644635,,
3562,644660,,
3540,644685,,
3579,644711,,
3713,644737,,
3483,644762,,
3935,644787,,
3787,644812,,
3875,644925,,
3763,644999,,
3661,645026,,
3585,645055,,
3561,645081,,
3535,645106,,
3602,645132,,
3614,645157,,
3661,645182,,
3638,645208,,
3705,645233,,
3772,645259,,
3733,645283,,
3793,645309,,
3833,645335,,
3896,645360,,
3952,645385,,
3910,645410,,
3865,645436,,
3719,645462,,
3716,645487,,
3729,645516,,
3666,645541,,
3634,645567,,
3653,645593,,
3632,645617,,
3647,645643,,
3717,645668,,
3868,645694,,
3868,645719,,
3979,645744,,
4014,645770,,
3942,645795,,
3866,645846,,
3787,645980,,
3703,646006,,
3767,646032,,
3764,646057,,
3687,646083,,
3792,646108,,
3995,646133,,
4054,646166,,
3867,646192,,
3522,646216,,
3214,646242,,
3578,646267,,
3681,646293,,
3992,646318,,
4281,646343,,
4482,646369,,
4332,646394,,
4053,646419,,
3990,646489,,
4004,646514,,
4146,646539,,
4138,646564,,
3945,646590,,
3930,646616,,
3846,646644,,
3811,646670,,
3675,646695,,
3712,646720,,
3684,646746,,
3573,646771,,
3862,646797,,
3892,646821,,
3990,646847,,
3832,646873,,
3950,646935,,
3867,647056,,
3850,647081,,
3920,647108,,
3786,647134,,
3709,647158,,
3899,647184,,
3840,647209,,
3683,647235,,
3823,647264,,
3823,647289,,
3863,647314,,
3923,647340,,
3969,647365,,
3937,647391,,
3954,647415,,
3867,647441,,
3924,647467,,
3888,647492,,
3750,647517,,
3835,647542,,
3851,647568,,
3895,647593,,
3944,647618,,
3958,647644,,
3992,647669,,
3903,647695,,
3894,647725,,
3962,647749,,
3976,647775,,
3948,647800,,
4024,647826,,
3928,647915,,
3977,648013,,
4017,648040,,
3987,648066,,
3995,648091,,
3972,648117,,
4007,648141,,
4035,648167,,
3968,648193,,
3932,648218,,
3919,648243,,
3943,648268,,
3933,648294,,
3919,648320,,
3941,648348,,
3958,648374,,
3947,648398,,
3955,648424,,
3954,648450,,
3977,648475,,
3977,648501,,
